Transaction_ID,Date,Country,Product_ID,Product_Name,Category,Price_per_Unit,Quantity_Purchased,Cost_Price,Discount_Applied,Payment_Method,Customer_Age_Group,Customer_Gender,Store_Location,Sales_Rep
71d30261-0036-4487-8148-090fa8473805,1/27/2025,India,f875594e-f0bd-4dcf-a044-3e6554ee396a,Seat,Home & Kitchen,392.07,9,321.87,3.87,Cash,Young,Other,Mumbai,Steven Bass
c0fa1d1f-5cfa-41a1-ab72-a37e35f8f79f,1/26/2025,India,0b52436b-6b1b-44e0-becd-3eaefaa3b10b,Beautiful,Beauty,459.84,3,378.73,49.49,Credit Card,Adult,Female,Mumbai,Vicki Collins
265c6ee0-7234-4f20-87e1-e82277b3b4e0,3/16/2025,India,854555b3-3a41-4ae8-96ce-041ae73facd1,Manage,Electronics,413.02,7,303.95,80.5,Cash,Senior,Female,Mumbai,Jason Smith
14b5969e-e4bb-4bbd-aeeb-45bfd0816d93,1/24/2025,India,d94c84b2-f9cd-44ae-a5d7-49ccc64a6670,As,Toys,364.38,1,233.83,37.8,Cash,Adult,Other,Mumbai,Aaron Davis
e2281b35-e3db-481e-a234-50b6238e0b76,1/1/2025,India,c5a84e7a-bfe8-4311-95f3-0428e3096d91,Pass,Sports,254.89,9,154.86,27.47,Credit Card,Young,Female,Bangalore,Dawn Duran
8be32311-3f4c-4139-b3bb-c6db4b60d767,1/25/2025,India,271440b1-98b4-4145-9b02-7caadbd22ae8,Keep,Electronics,496.33,4,427.71,91.24,Mobile Payment,Adult,Female,Delhi,Cindy Odonnell
56c6d308-0944-4d97-8b9e-4c16ac544a66,1/29/2025,India,8eb6c8f8-3cf4-4e04-b970-4c400a0ea207,Information,Beauty,16.15,1,13.16,1.12,Cash,Adult,Other,Bangalore,Valerie Hill
d8a14a13-07e0-4c9c-be83-a18cbb48b1af,1/19/2025,India,d0078e09-1560-4e57-b9fe-5b2bd8c308b5,Attorney,Electronics,347.96,5,291.99,39.53,Cash,Adult,Other,Delhi,Melissa Wood
0b2a0f1e-5232-40c3-b789-408474902424,3/16/2025,India,05c48bcf-694f-4379-8115-0709070d8d4f,Third,Home & Kitchen,312.54,8,189.48,50.31,Mobile Payment,Adult,Female,Bangalore,Michelle Fields
cbc8de20-95b3-47d8-a56d-ea1b7c6615e6,1/31/2025,India,cc9e2e56-c383-48d6-aad5-dabed3073ee6,Just,Home & Kitchen,277.85,1,210.02,47.59,Credit Card,Young,Female,Bangalore,Sherry Guerrero
58301db8-5430-445e-bfad-cc03f2c85a26,1/30/2025,India,06f4b564-e4cd-47e9-b979-92c219fb05fe,Doctor,Electronics,486.17,6,387.24,62.51,Credit Card,Young,Female,Bangalore,Gary Murray
84fce6bb-2b4b-4f22-b7d7-8dcded616c98,1/26/2025,India,f08ab83d-9a4a-48f7-9f5c-2510c0e6e9e1,Heart,Clothing,252.54,2,194.78,4.5,Mobile Payment,Adult,Male,Mumbai,Cody Wright
d62862ba-4751-4cc7-8c56-ed03974772db,1/15/2025,India,92f5cedb-5c01-4696-8390-286d7c930496,Nation,Home & Kitchen,466.17,5,309.57,33.94,Cash,Young,Other,Bangalore,Allen White
411c5ec4-c610-4e4b-b024-94e23ebd0040,1/9/2025,India,322d6933-9837-4d82-9745-8713a00091e4,When,Electronics,191.91,3,168.71,18.67,Mobile Payment,Young,Male,Delhi,Tony Murray
b3cd3851-c18a-46ee-8227-e6aa7b9fda98,1/24/2025,India,3c374d5b-01c0-46fd-a6a9-4a4cf8aa947d,Military,Beauty,237.9,4,150.63,4.9,Credit Card,Senior,Male,Delhi,Scott Gray
4b68d8d9-7e97-45e4-875a-ea2b1e1a15b3,1/30/2025,India,6e675fb7-b58c-4629-8e7c-51a898c611d0,Any,Toys,496.83,7,416.98,71.55,Cash,Young,Male,Mumbai,Jennifer Johnson MD
c4e4af66-4858-4c46-8209-35c91d3db618,3/16/2025,India,5a891cad-5b34-4f07-bde6-dbc8f1ccdc0a,Remember,Clothing,38.5,7,25.28,1.11,Mobile Payment,Senior,Other,Delhi,Danielle Hamilton
454c0ddd-e3ca-41a8-9a6b-c5090976c41f,3/16/2025,India,98b167f0-f0c3-4b3a-9040-ac889250a311,Rock,Toys,162.24,1,108.76,31.76,Cash,Senior,Female,Bangalore,Matthew Johnston
8d367da9-2ea6-428f-83ac-5b2859bb3e77,3/16/2025,India,698671c8-907c-49eb-ace9-e3487ed6da61,Pretty,Home & Kitchen,226.43,9,144.56,13.64,Cash,Young,Female,Delhi,Samuel Williams
91c347f4-5e28-4af8-8ea4-967d3c1f5b1b,1/1/2025,India,34265d05-7bba-4647-a9a8-0795915032ba,Level,Beauty,286.07,8,242.62,30.96,Credit Card,Young,Male,Delhi,Vanessa Morris
34368083-288f-42d8-9f7d-a7e0ea783e67,1/5/2025,India,40992752-2b26-4b3e-89c5-f59176b8f730,Letter,Sports,333.2,9,201.15,48.57,Credit Card,Senior,Female,Mumbai,Richard Moore
36122594-0d53-4528-89e6-3ac3a46b85b5,1/12/2025,India,4a2bac84-f48b-4efe-a18a-fd339c6c78e3,Probably,Home & Kitchen,431.89,8,320.67,46.29,Credit Card,Senior,Female,Delhi,Elizabeth Brown
97aa23ff-7c10-404d-9806-362cc1ebb146,3/16/2025,India,a15ec27e-bd30-43e3-bae3-8eb9820b43ee,Answer,Toys,370.62,1,315.58,40.36,Credit Card,Young,Male,Bangalore,James Weber
191508f5-7376-4ace-9d9a-d4f1d78471fe,3/16/2025,India,c9f6eb5c-b6ce-4994-b5a9-41829c56f858,Decision,Beauty,379.7,6,243.21,8.39,Credit Card,Senior,Other,Delhi,Alex Gutierrez
e1bb5ebf-f1fb-4a11-a989-1001b91b206e,3/16/2025,India,01a9d943-0b49-4362-9063-e1d5f0202ad0,Customer,Home & Kitchen,213.63,8,154.91,15.52,Cash,Adult,Female,Mumbai,Michael Roberts
3307ed5e-351f-4369-8d2e-1341887f7d1d,1/6/2025,India,fef00b3e-314a-46ef-a09e-0fdce8ea5c6f,Beat,Beauty,121.38,3,78.48,15.8,Cash,Young,Male,Bangalore,Michael Butler
8cc41ae1-9bab-41bb-8ff7-42f59723da08,3/16/2025,India,c02c73c2-30ed-47d4-a9d5-4ba1f0ad4d74,Article,Sports,435.19,6,376.34,60.1,Credit Card,Young,Male,Delhi,Dennis Charles
adbc8429-88c9-4fc6-b016-725b07443df1,1/21/2025,India,08604fa7-f63e-46da-9ad2-da61a9b33506,World,Electronics,33.13,5,29.41,5.27,Cash,Senior,Male,Delhi,Thomas Smith
6225df9a-9058-42dc-a106-20040a286fa0,1/14/2025,India,11fb77cf-fa39-4998-a1f8-bd3658005477,Gun,Clothing,287.3,2,232.75,30.6,Cash,Senior,Female,Mumbai,Charles Williams
81adcdf1-d0a8-4040-b18f-d34bcaa7644e,3/16/2025,India,1bd4eff9-794f-4552-b179-c190600af0a4,Itself,Home & Kitchen,23.21,3,15.92,1.46,Cash,Senior,Male,Mumbai,Angela Payne
837dc40e-63ff-4cd2-89a7-60f52f6c6832,1/20/2025,India,52897f72-4185-4fba-b40c-f2d8fe22a1a6,Support,Toys,383.24,8,267.35,66.09,Mobile Payment,Young,Male,Bangalore,Donald Myers
9261886b-3b69-4dae-a5e1-7259b188aff6,1/11/2025,India,a0d20dd2-5a31-4c77-8c6c-3b7ef1baa232,Professor,Sports,375.36,9,323.36,15.79,Mobile Payment,Senior,Other,Bangalore,Nathaniel Torres
911ec5a6-a1da-482c-a9a4-f2ddd8aaba40,3/16/2025,India,3b92a369-5511-4527-a2d7-42c50f55f24e,American,Clothing,105.19,8,75.02,5.27,Credit Card,Adult,Female,Bangalore,Stephen White
871de8ac-1150-42d6-85d8-b34b423fc596,1/10/2025,India,9a0e0153-760b-4a9f-8676-f62440ff8878,Significant,Beauty,276.36,2,246.23,54.66,Cash,Senior,Other,Bangalore,Robert Carey
d648fc4c-b485-498f-abbf-b41d59c2ee54,1/18/2025,India,760634cd-0243-4721-9311-17f9fb434dca,Personal,Toys,333.23,1,221.51,49.17,Cash,Young,Male,Mumbai,John Ward
a1bcb585-e0e6-42c1-b068-126c317c9009,3/16/2025,India,b263b364-d401-4853-94eb-c5538faa229a,How,Electronics,263.78,1,208.78,30.51,Credit Card,Adult,Female,Mumbai,Ronald Payne
20a1223d-5056-4f61-bf40-0f81264698c7,1/1/2025,India,b9321191-dbd9-4852-bd3d-26a5b0f23118,Page,Sports,160.58,5,106.44,11.75,Mobile Payment,Adult,Male,Mumbai,Terry Evans
d09e229c-cd12-4651-a9b2-85f1096f8c63,1/15/2025,India,adbcf894-5b7a-4fb5-ab5d-12e606af852b,Low,Clothing,351.07,7,266.11,1.82,Cash,Senior,Female,Bangalore,Amy Levine
da4e254c-46d7-4d66-ba14-8c13db317aa9,4/18/2025,India,8529c58c-a185-4f0c-89c3-1901646567a9,Whole,Beauty,224.54,10,192.22,44.13,Credit Card,Young,Female,Bangalore,Laura Tran
07d5e27b-0bf1-4e17-be85-667d88f94974,1/14/2025,India,dd71f875-14cb-41ff-8a2c-865df9d8e68b,History,Clothing,150.37,7,94.74,27.79,Credit Card,Adult,Other,Mumbai,Robert Lowe
741aa9e5-94a7-4eb6-b201-8704cbdb2fd2,1/6/2025,India,3521f77b-90a3-44e2-9dc6-c06fb09afd12,Case,Electronics,137.84,8,123.27,22.21,Cash,Senior,Male,Bangalore,Debbie Barnett
bb2995af-7a9a-4c99-be2e-9b22e5dfc602,1/28/2025,India,df783c16-5e9a-42c4-a795-b8972419eaca,Foot,Sports,303.91,8,202.69,57.27,Mobile Payment,Adult,Other,Delhi,Dylan King
005e0ad8-c5a2-4130-99eb-58af6d96317a,1/28/2025,India,00034cad-c0ba-4907-84c5-76fe16f632fd,Democrat,Beauty,60.9,3,49.45,10.54,Cash,Senior,Other,Mumbai,Michael Frey
c85a2243-8144-45ee-b453-db7593fe3a7a,4/18/2025,India,8f841d5d-6614-4c8d-bc72-8b23c6b69006,Free,Toys,225.5,2,146.02,25.42,Credit Card,Adult,Female,Delhi,Erin Solis MD
21c54234-f9e4-4b6f-a20c-c3581cf5bddd,1/14/2025,India,f22efee2-b0b7-44e8-b446-469e63c53003,Direction,Clothing,281.7,1,225.65,25.25,Mobile Payment,Young,Male,Mumbai,Chelsey Phillips
13e18668-b910-468f-ab36-7fca21b7f7b5,1/29/2025,India,5e8376f0-9f2c-4008-923c-37ecee4ca6e1,Before,Sports,46.49,8,36.56,5.42,Mobile Payment,Senior,Other,Delhi,Taylor Reed
f5d266eb-13dc-4cce-adf5-87e84b3c5c3f,1/10/2025,India,fb111316-3962-4412-8b50-f9d4b547f380,Ever,Sports,185.69,4,114.41,13.94,Mobile Payment,Adult,Female,Mumbai,Gregory Bonilla
9dbe213c-fc1e-488d-a0af-a188f87074cc,1/23/2025,India,e8df056d-1ac0-4a80-a8fb-64e22237fe6b,Have,Electronics,256.31,3,158.44,15.66,Cash,Young,Other,Mumbai,Chad Scott
7b742814-d3d9-4e17-949f-ce0aedd1ea05,4/18/2025,India,565a7cf0-ffe6-4299-9201-0df6dfa8d137,Positive,Home & Kitchen,10.21,3,7.27,0.08,Cash,Adult,Male,Delhi,Matthew Jacobs
0deae8ec-89d6-4623-8ae9-4ab3592d1be0,7/16/2025,India,4835dbb1-cea4-4096-bb89-36488a30ceb5,Probably,Electronics,215.28,9,146.38,12.04,Mobile Payment,Adult,Other,Delhi,Christopher Jackson
c82aa438-9654-4f81-8459-274cebbf2582,9/8/2025,India,52748ddd-eae6-4013-80e7-d0e904ebe71e,Feeling,Toys,352.68,8,213.46,50.93,Cash,Adult,Other,Bangalore,Christine Perry
1ae25f59-092e-4291-b981-8eb257632005,7/8/2025,India,8bf68160-3bb3-4432-b768-2b5f2f9aa3bf,Activity,Electronics,382.98,7,260.87,45.09,Cash,Senior,Female,Bangalore,Sara Lopez
9a2e0fe0-7b9e-4698-bfb7-93898c0f3f99,12/14/2025,India,54d913ed-a1f3-44d3-bfbb-363c4dd84cdd,Beautiful,Toys,296.21,9,196.32,20.77,Mobile Payment,Senior,Other,Bangalore,Monica Hayes
37c5737f-f809-4ebc-8cd4-dfb361d4ee5c,11/20/2025,India,fa17b2de-0dc9-4ea0-a012-f3ae6cdca427,Tend,Electronics,372.89,2,274.24,7.13,Cash,Senior,Female,Mumbai,Christopher Morris
51bb6ace-ad78-4acd-b2e0-c138ccbb22c8,7/16/2025,India,5dec0bb3-d90d-4485-b755-b21c3fd72c92,Star,Toys,130.51,6,79.05,4.67,Cash,Young,Female,Bangalore,James Fisher II
b748217e-dfe5-4b4e-b0e6-784545ff5a6e,12/1/2025,India,c8c8d9d6-396c-413d-8d82-8b91f265176e,Standard,Beauty,367.05,7,223.01,66.73,Credit Card,Adult,Male,Mumbai,Peter Novak
2e9e4034-597b-4133-9664-71648c475dd8,9/10/2025,India,b4d85647-4cc4-4e63-9e7d-51269d2de20e,Ok,Toys,29.48,5,26.19,1.51,Credit Card,Young,Female,Delhi,Nicole Jackson
5f877a03-f20d-4821-b658-ac6478004c72,11/20/2025,India,cae07ae9-8d1e-42ef-9ab5-3a3396276a8a,Pay,Home & Kitchen,376.26,2,290.1,26.84,Credit Card,Adult,Male,Mumbai,Sonya White
ef1ee64b-b951-4056-a90e-283b64fb18b3,11/20/2025,India,fe157171-ceb0-4dca-a479-387198e6a2bb,Economic,Sports,35.42,7,29.82,3.37,Credit Card,Senior,Other,Delhi,Gary Joyce
