Transaction_ID,Date,Country,Product_ID,Product_Name,Category,Price_per_Unit,Quantity_Purchased,Cost_Price,Discount_Applied,Payment_Method,Customer_Age_Group,Customer_Gender,Store_Location,Sales_Rep
beade0a0-c06c-4f2c-b07a-8ce55fbd81de,12/8/2025,Nigeria,7f03bcff-7fb8-47e3-a7d8-5ce0b7d893aa,Soldier,Sports,351.03,10,250.29,51.78,Credit Card,Senior,Female,Abuja,Leah Simon
7a8ab7da-674b-4cb3-ae8f-d3ca0e690365,2/4/2025,Nigeria,ce09c7c8-acaa-4697-97e8-5b112a6d129c,Public,Toys,359.92,7,243.79,1.48,Credit Card,Adult,Other,Abuja,Roy James
a88cdd7b-4229-4d1d-8474-4434511173c0,2/18/2025,Nigeria,3df1598f-498e-421c-b184-a7428e744351,Story,Electronics,287.57,7,177.57,24.41,Mobile Payment,Young,Male,Port Harcourt,Joanna Barrera
0fccc32e-c8e1-41cc-aa9e-2e3390724207,12/8/2025,Nigeria,d88d221f-a53c-4c22-9faa-20568c20c3c2,State,Beauty,75.07,1,48.46,1.69,Credit Card,Adult,Female,Abuja,Zachary Torres
5e57c3cd-da6e-41f0-850e-25dd0472c586,2/4/2025,Nigeria,93d96f55-f65a-4ab5-a312-8624964304f6,Market,Clothing,36.88,9,30.68,1.78,Cash,Senior,Female,Port Harcourt,Jamie Hendricks
dfb49a89-4f68-44f5-bd86-9b50876ce7e6,2/15/2025,Nigeria,37c7b8b1-f403-4f2e-8e41-352667786077,Charge,Home & Kitchen,168.95,9,123.96,18.85,Credit Card,Young,Other,Port Harcourt,Kristin Davis
62cbbd07-882b-477f-8af4-e09b019a631c,12/8/2025,Nigeria,03cc4f55-c905-416e-9524-ae110ec22a42,Mind,Beauty,424.24,4,315.89,82.16,Mobile Payment,Adult,Female,Port Harcourt,Rebecca Andrews
ceaefbc0-c312-4a53-9a07-b0e900f38b0d,2/11/2025,Nigeria,2aa3a9f9-7f57-4fdc-b2fa-83ae04a99e7c,Floor,Electronics,157.43,3,134.26,26.1,Mobile Payment,Adult,Male,Lagos,Laura Vazquez
4836bb7a-6091-4c0b-842f-7c619721a813,12/8/2025,Nigeria,48e373ea-8148-4a44-94f0-a84655c817bd,President,Sports,316.89,4,277.8,22.23,Credit Card,Senior,Male,Lagos,Jamie George
c8339856-3ded-4104-8030-b8d9a57fec5a,12/8/2025,Nigeria,7cad69bc-ce72-42e8-bca0-f4a2f9395b40,Throughout,Home & Kitchen,405.35,10,309.33,33.87,Mobile Payment,Young,Other,Lagos,Nicholas Williams
0f67c4b4-bd47-4323-ac5b-f0d40c8aaa70,12/8/2025,Nigeria,1f22c872-5cf8-4fdf-aefe-a0733fc2bcc0,Sport,Electronics,53.7,1,48.21,4.82,Credit Card,Young,Male,Lagos,Nathaniel Lambert
6f8577ff-0bcb-4853-aee6-de8f3eb692c3,2/4/2025,Nigeria,c1fc70b4-a485-44c5-b50e-fbe641de032b,Red,Toys,192.83,10,155.39,29.02,Credit Card,Senior,Female,Abuja,John Greene
c0512d2c-20e7-4156-8820-699793996502,12/8/2025,Nigeria,0616c4bb-d628-4313-b8c7-c6b8f8871c47,Hear,Clothing,404.77,6,292.23,77.54,Cash,Senior,Other,Port Harcourt,Alan Matthews
658787ab-3821-4601-b75d-70fba304bc11,12/8/2025,Nigeria,4eab6df9-7a25-4b1b-bcc1-7149f9722289,Write,Clothing,176.28,4,142.72,14.69,Mobile Payment,Adult,Male,Lagos,Caroline Anderson
8029b921-ad58-4f37-b536-94e877e7b308,2/17/2025,Nigeria,b739bb21-1db4-4c67-8391-925987802049,Pick,Electronics,397.21,5,353.88,65.17,Cash,Young,Male,Lagos,Beth Bowers
4eb2db33-2991-4b2d-a629-604ae095b2af,12/8/2025,Nigeria,b1478aaf-fcc8-48c7-98ca-56c4766f0219,Fear,Home & Kitchen,449.92,4,394.18,79.7,Mobile Payment,Young,Male,Abuja,Amanda Kline
213e39b4-9e87-4a4c-8dd5-4bb9b5905197,12/8/2025,Nigeria,b788e9a5-0d6f-4486-a385-67156db7f625,Full,Sports,486.73,6,366.36,70.37,Mobile Payment,Senior,Female,Abuja,Catherine Johnson
4b500151-3b87-4b8b-bd23-0e894c9ca9e3,12/8/2025,Nigeria,4673ac77-2ba3-4c3d-b743-8760b5b85c0a,Writer,Beauty,462.3,1,341.98,83.34,Credit Card,Young,Male,Lagos,Spencer Perez
8fccd4e7-0bf2-4144-a238-2f21860f2793,12/8/2025,Nigeria,bc466c19-bfb3-4b1f-b5fd-31e95329ff3c,What,Sports,371.97,6,227.3,14.93,Credit Card,Senior,Male,Port Harcourt,Tiffany Crawford
c5170260-9a9c-4576-95d0-6d2609f14d59,12/8/2025,Nigeria,c1807f3b-be2a-4741-8245-d6a85660049e,Member,Home & Kitchen,430.41,7,341.13,8.61,Mobile Payment,Adult,Other,Abuja,Cathy Moore
0919b35a-6bdd-4654-a4ae-4a1ad40c8023,2/12/2025,Nigeria,dbe2656e-9aa0-4f32-be8a-9a6e8f6f281e,People,Toys,87.43,1,70.83,7.83,Cash,Adult,Female,Abuja,Daniel Hickman
efb50792-c0c5-4c2c-be83-3735a7d67c88,12/8/2025,Nigeria,ca2ecd33-454f-49e9-b5e2-73c846ce2faf,Sell,Beauty,11.34,5,8.38,0.01,Mobile Payment,Adult,Female,Port Harcourt,Candace Sweeney
042bdeb9-00c6-445d-b996-4c0bddfe07a7,2/12/2025,Nigeria,61113048-b7cc-4d14-a151-a67895e1e592,Ago,Sports,341.42,1,293.43,31.17,Cash,Adult,Female,Lagos,Daniel Hernandez
eabaedf5-d097-4a4a-8086-965d0ed488ee,2/1/2025,Nigeria,c7e624f2-2ed3-448b-851c-81f597e664c0,To,Electronics,126.56,2,85.04,16.58,Cash,Adult,Male,Port Harcourt,Brandon Ruiz
55e490a3-eca1-4a87-9dbd-1d1d5880628c,2/5/2025,Nigeria,068655df-c221-4653-a35e-029ee1c31aae,Under,Clothing,335.5,7,226.73,8.46,Credit Card,Adult,Other,Lagos,Jamie Patterson
b8cbd57e-f6b4-45c5-b1f4-453367c72697,12/8/2025,Nigeria,53c5d36b-6d3f-4be9-99e4-ec83115052a9,Discover,Sports,94.77,6,73.68,14.96,Cash,Adult,Female,Lagos,William Jones
07a98812-91d2-4ea3-8259-073604f94a35,12/8/2025,Nigeria,bb770388-a068-4b1d-b6ef-cc8fd0d4a6f7,Everybody,Toys,271.66,6,207.21,42.18,Cash,Young,Female,Port Harcourt,Gregg Beasley
5bedd8c5-510f-4d04-9663-7a4c9300c442,12/8/2025,Nigeria,ce58ae19-7665-4677-b9d8-a4aec844ae8f,Possible,Sports,20.47,10,17.88,1.24,Cash,Young,Male,Abuja,Mr. David Escobar PhD
d0e1608a-0cad-48be-b66f-ec0340423c08,12/8/2025,Nigeria,266c6882-210e-42f8-a3a0-e69216007a39,Store,Sports,109.23,4,80.45,0.05,Mobile Payment,Senior,Other,Port Harcourt,Jasmin Sutton
b9b1a969-a6e8-4016-b15d-603f6d72ec71,2/6/2025,Nigeria,e101184b-b0bd-4dd7-b74c-5503978a1d1c,Cost,Clothing,426.43,5,319.82,60.13,Credit Card,Adult,Female,Abuja,Michelle Henderson
412e8055-01d7-4e1d-9f4b-c2375d748f95,12/8/2025,Nigeria,bd870ee3-6557-4693-95ef-aa25055103bd,It,Sports,451.01,10,331.88,56.75,Mobile Payment,Adult,Male,Abuja,Alicia Stevens
5e0f8fa4-c4a1-4686-ba10-44347af385f6,2/16/2025,Nigeria,92640839-60ec-4e6a-b4d5-ed987098888c,Work,Electronics,326.3,6,255.97,10.26,Mobile Payment,Young,Other,Abuja,Jerry Mcbride
7c92b43f-06fb-48fb-a6dd-700a3711924c,12/8/2025,Nigeria,ee664515-ba70-4df3-a0f5-60f21c03494e,Property,Beauty,12.69,2,9.44,2.31,Cash,Young,Other,Lagos,Logan Paul
a0e542f8-620f-494d-acae-3815fe7e5ae9,12/8/2025,Nigeria,1d89fda4-afcb-4943-9d3a-ca2c5d382298,Once,Beauty,56.69,10,49.81,2.07,Cash,Young,Male,Lagos,Benjamin Thomas
6fc8655a-09bb-4a29-b010-9f5628922eb0,12/8/2025,Nigeria,a349b8f3-14a7-4b25-90ef-c2b91d827336,Security,Toys,144.56,1,113.43,21.07,Credit Card,Adult,Other,Lagos,Joel Collins
33f064f3-78d1-44c0-ba62-d2d22fc018b9,12/8/2025,Nigeria,73bc4a2f-f000-4429-8cb1-02166aca0e94,Reduce,Home & Kitchen,208.61,6,128.73,37.81,Mobile Payment,Young,Female,Lagos,Jesse Lewis
c6eaf9ec-a199-4176-ad92-7492bf9ebe1c,2/10/2025,Nigeria,64352b34-4b82-4668-9163-8565aea75914,Lay,Beauty,458.79,5,383.15,88.62,Cash,Senior,Other,Port Harcourt,Matthew Erickson
346579e6-cf12-44aa-8b44-8b0d139b23fc,12/8/2025,Nigeria,6d475abb-af60-4c0c-b7d5-296064a8c9ad,Brother,Clothing,264.67,3,174.45,29.95,Credit Card,Young,Female,Abuja,Michael Wood
b86fe60d-2273-4fae-974d-046b44082781,11/6/2025,Nigeria,dc3570e1-2af5-4b09-8076-cac6055e9bf3,Lawyer,Electronics,134.23,10,88.51,6.78,Mobile Payment,Young,Other,Abuja,Kimberly Reed
00a30472-89a0-4688-9d33-67ea8ccf7aea,11/6/2025,Nigeria,57e25f95-f455-4178-9e2f-0f6079060e87,Difficult,Beauty,456.12,,400.1,89.22,Credit Card,Adult,Male,Lagos,John Maddox
1bf22d35-ef13-4382-8ac7-2a1ef18a89cd,2/9/2025,Nigeria,8110f1be-5805-4965-9476-983d313bbd5e,Marriage,Sports,391.34,8,250.39,4.49,Mobile Payment,Senior,Other,Lagos,Mark Coleman
63b4143e-0569-43a8-b6fc-de73d3846c64,2/20/2025,Nigeria,881b5a1d-b607-4f7b-9db9-12a76778af2a,Hold,Beauty,298.94,2,194.07,41.73,Mobile Payment,Adult,Other,Abuja,Kyle Wilson
aa5cfdc2-891c-4f85-9422-c4f8a3a3b2e2,11/6/2025,Nigeria,984a1804-7c64-440a-ab34-c6df441307a4,Involve,Home & Kitchen,413.45,6,352.39,9.98,Mobile Payment,Young,Male,Abuja,Steven Solis
f66b2c20-f67b-451b-bb0b-59fada225788,11/6/2025,Nigeria,3b88485b-0859-467e-8483-493ca3c7c5cb,In,Home & Kitchen,92.81,8,58.57,6.21,Cash,Senior,Male,Abuja,Andrea Walters
ddf86db5-d932-44cc-b2f1-3f63b80bba3b,2/14/2025,Nigeria,99c4b1e2-4f8f-4761-9705-7c2a9ec6c736,Figure,Beauty,407.84,5,301.92,0.78,Cash,Young,Male,Abuja,Christopher White
